Group No,Group Meaning & Context,Words with Meanings
1,"To Lessen, Reduce, Shorten, or Diminish","Abate: To decrease, reduce, or lessen in intensity or degree. Abridge: To shorten or condense a text or period without losing essential meaning. Alleviate: To make pain, hardship, or difficulty more bearable. Assuage: To soothe, calm, or make less severe. Curtail: To reduce in extent or quantity; impose a restriction on. Decimate: To destroy or reduce a large proportion of something. Depreciate: To decrease in value, price, or estimated worth over time. Desiccate: To dry up thoroughly or remove moisture from. Dissipate: To scatter, squander, or fade away gradually. Efface: To erase a mark from a surface; to make oneself inconspicuous. Enervate: To cause someone to feel drained of energy or vitality; weaken. Expedite: To make an action or process happen more quickly or efficiently. Palliate: To make a disease or symptom less severe without curing it; alleviate. Relegate: To dismiss to an inferior rank or position. Attenuate: To reduce the force, effect, or value of; weaken. curb: To restrain, check, or keep in control. debase: To reduce something in quality, character, or value. deplete: To use up or exhaust the supply or resources of something. Desist: To stop, cease, or abstain from an action. Diminution: A reduction in the size, extent, or importance of something. Downplay: To make something appear less important or serious than it is. Ebb: To recede, flow back, or gradually decrease. Expunge: To erase, remove, or completely destroy. Modulate: To exert a modifying or controlling influence on; adjust. Nullify: To make legally null and void, invalidate, or cancel. Override: To use one's authority to reject or cancel a decision or order. Quell: To put an end to a rebellion or other disorder, typically by use of force. Remission: A temporary diminution of the severity of disease or pain; forgiveness. Repress: To subdue or restrain someone or something by force. Slake: To quench or satisfy a thirst, desire, or appetite. Subside: To become less intense, violent, or severe; sink to a lower level. Supersede: To take the place of a person or thing previously in authority or use. Suppress: To forcibly put an end to or prevent the development or expression of. Thwart: To prevent someone from accomplishing something or opposing plans. Wane: To decrease vigor, power, size, or extent; become weaker. Allay: To diminish or put at rest fear, suspicion, or worry. Annul: To declare invalid an official agreement, decision, or result. Cease: To come or bring to an end; stop. Dwarf: To cause to seem small or insignificant in comparison. Dwindle: To diminish gradually in size, amount, or strength. Faint: Barely perceptible; lacking clarity, strength, or consciousness. Hinder: To delay, obstruct, or impede the progress of someone or something. Rein: To check, restrain, or control an action or movement. Shrink: To become smaller in size, amount, or value. Tweak: To make a fine adjustment, slight change, or minor modification. Wither: To dry up, decay, shrivel, or fade away from loss of vitality."
2,"To Surrender, Relinquish, Give Up, or Renounce","Abdicate: To formally give up or step down from a position of power or authority. Abnegate: To surrender, renounce, or deny oneself a privilege or right. Capitulate: To surrender under agreed conditions; to give up resistance. Disavow: To deny responsibility for, connection with, or knowledge of. Forgo: To omit or decline to take, enjoy, or use something. Forsake: To abandon or renounce someone or something. Recant: To formally withdraw or renounce a stated opinion or belief. Relinquish: To voluntarily cease to keep or claim; give up. Renounce: To formally declare one's abandonment of a claim, right, or belief. Repudiate: To refuse to accept or be associated with; reject. Retract: To draw back or withdraw a statement, promise, or claim. Succumb: To fail to resist pressure, temptation, or negative force; yield. abjure: To formally renounce, reject, or give up a belief, claim, or cause. abrogate: To repeal, annul, or abolish a law, right, or formal agreement. apostasy: The formal abandonment or renunciation of a religious or political belief. concede: To admit that something is true, valid, or surrendered after denying it. consign: To deliver or commit someone or something to another's care or charge. depose: To remove a monarch or leader from power forcefully. Disclaim: To deny or renounce responsibility for or connection with. Forswear: To formally renounce or agree to give up under oath. Oust: To drive out or expel someone from a position or place. Resignation: The acceptance of something undesirable but inevitable, or formal departure from a job. Secede: To withdraw formally from membership of a federal union, alliance, or organization. Waive: To refrain from insisting on or applying a claim, right, or rule. Concession: A thing that is granted, conceded, or yielded. Discard: To get rid of someone or something as no longer useful or desirable. Extradition: The surrender of an alleged or convicted criminal to another jurisdiction. Forfeit: To lose or be deprived of property or a right as a penalty. Forfeit: To lose or be deprived of property, a right, or a privilege as a penalty for a fault or mistake. Retreat: To withdraw or move back from a position or conflict. Scuttle: To run hurriedly with short quick steps, or to deliberately sink/abandon a plan."
3,"To Praise, Honor, Compliment, or Approve","Accolade: An award, honor, or expression of praise. Adulation: Excessive praise, flattery, or admiration. Approbation: Formal approval, commendation, or praise. Compliment: An expression of praise, admiration, or congratulation. Exalt: To hold someone or something in very high regard; to praise or elevate. Extol: To praise enthusiastically and lavishly. Laud: To praise highly, especially in a public context. Revere: To feel deep respect or admiration for someone or something. Tout: To attempt to sell something, typically by pestering people in an aggressive manner. Venerate: To regard with great respect; revere. acclaim: To praise, applaud, or welcome enthusiastically and publicly. august: Respected, impressive, majestic, and dignified in status. ballyhoo: Extravagant, noisy, or sensational publicity and promotion. commemorate: To recall and show respect for someone or something in a ceremony. Estimable: Worthy of great respect and admiration. Eulogy: A speech or piece of writing praising someone, usually after death. Homage: Special honor or respect shown publicly. Panegyric: A public speech or published text in praise of someone or something. Rhapsodize: To speak or write about someone or something with great enthusiasm or delight. Sanction: Official permission or approval for an action, or a penalty for disobeying a law. Applaud: To show approval or praise by clapping or enthusiastic statement. Flatter: To praise excessively or insincerely to gain favor. Jubilant: Feeling or expressing great joy, triumph, and exultation. Laudable: Deserving high praise, commendation, or respect. Reverence: Deep respect, awe, or devotion for someone or something."
4,"To Scold, Criticize, Chastise, or Reprimand","Admonish: To warn, scold, or caution someone gently but firmly. Belittle: To make someone or something seem unimportant or small. Castigate: To criticize, punish, or reprimand someone severely. Censure: To express severe disapproval or formal criticism of someone. Chastise: To scold, punish, or discipline severely. Deprecate: To express disapproval of or belittle. Deride: To express contempt for or ridicule mocked. Derogatory: Showing a critical or disrespectful attitude. Disdain: The feeling that someone or something is unworthy of consideration or respect. Disparage: To regard or represent as being of little worth; belittle. Exhort: To strongly encourage or urge someone to do something. Impugn: To dispute the truth, validity, or honesty of; call into question. Insolent: Showing a rude and arrogant lack of respect. Invective: Insulting, abusive, or highly critical language. Lampoon: To publicly criticize or ridicule someone using sarcasm or satire. Pejorative: Expressing contempt or disapproval; derogatory. Polemic: A strong verbal or written attack on someone or something. Proscribe: To forbid, ban, or condemn officially. Rebuke: To express sharp disapproval or criticism of someone because of their actions. Recrimination: An accusation in response to one from someone else. Remonstrate: To make a forcefully reproachful protest or objection. Reprehensible: Deserving censure, condemnation, or severe scolding. Reproach: To express disapproval or disappointment to someone. Reprove: To reprimand or censure someone firmly. Sardonic: Grimly mocking, cynical, or sarcastic. Stigmatize: To describe or regard as worthy of disgrace or great disapproval. Stricture: A restriction or a sternly critical remark. Tirade: A long, angry speech of criticism or accusation. vilify: To speak or write about in an abusively disparaging or slanderous manner. vitriolic: Filled with bitter malice, harshness, or caustic criticism. affront: An action or remark that causes outrage, insult, or offense. aspersion: A disparaging or derogatory remark intended to harm someone's reputation. cavil: To make petty or unnecessary objections or trivial complaints. contempt: The feeling that a person or a thing is beneath consideration or worthless. contumely: Insolent, insulting, or contemptuous language or treatment. critique: A detailed analysis and assessment of something. decry: To publicly denounce, condemn, or express strong disapproval of. denounce: To publicly declare to be wrong, evil, or deserving condemnation. deplore: To feel or express strong disapproval, regret, or grief over. Diatribe: A bitter, abusive verbal attack or criticism. Expostulate: To express strong disapproval or disagreement. Fulminate: To express vehement protest or explode violently. Carp: To complain or find fault continually about trivial matters. Opprobrious: Expressing scorn, disgrace, or severe criticism. Punitive: Inflicting or intended as punishment. Rebuff: To reject someone or something in an abrupt or ungracious manner. Reprimand: A formal expression of disapproval or severe rebuke. Retort: To answer to a remark or accusation, typically in a sharp, angry, or witty manner. Revile: To criticize in an abusive or angrily insulting manner. Sarcasm: The use of irony to mock or convey contempt. Scorn: The feeling or belief that someone or something is worthless or despicable. Spurn: To reject with disdain or contempt. Denunciation: Public condemnation of someone or something. Frown: A facial expression showing disapproval, displeasure, or deep concentration. Ridicule: To subject someone or something to contemptuous language or mockery."
5,"Skillful, Clever, Agile, or Sharp-Minded","Adroit: Clever, skillful, or adept in physical or mental execution. Dexterous: Skillful with the hands or mind; agile and adroit. Acumen: Keen insight, mental sharpness, and good judgment. Acute: Sharp, severe, or perceptive and quick-witted. Astute: Shrewd, perceptively clever, and quick to notice details. Artful: Clever, crafty, or skillful in a deceitful or subtle way. Dexterous: Skillful with the hands or mind; agile and adroit. Discern: To perceive, recognize, or distinguish clearly. Discriminate: To recognize or perceive fine differences between things. Distinguish: To perceive or point out a difference. Erudite: Having or showing great knowledge or learning; scholarly. Finesse: Intricate and refined skill, tact, or artful subtlety. Guile: Sly or cunning intelligence, deceit, or duplicity. Incisive: Intelligently analytical and clear-thinking; sharp and direct. Judicious: Having, showing, or done with good judgment or sense; wise. Proficient: Competent or skilled in doing or using something. Profound: Very great or intense; having or showing great knowledge or insight. Sagacious: Having or showing keen mental discernment and good judgment; wise. Sage: A profoundly wise person, especially one featured in ancient history or legend. Scintillate: To emit flashes of light; sparkle or be brilliantly clever. virtuoso: A person highly skilled in music, art, or another technical field. apt: Suitable, appropriate, or having a natural tendency to do something. artisan: A skilled manual worker or craftsperson. ascertain: To find out for certain, discover, or make sure of. competent: Having necessary ability, knowledge, or skill to do something successfully. conversant: Familiar with or knowledgeable about a particular topic or field. deft: Neat, skillful, and quick in one's movements or mind. Fathom: To understand or comprehend a difficult concept after thought. Gambit: A calculated move or tactic designed to gain an advantage. Precocious: Having developed certain abilities or proclivities at an earlier age than usual. Prowess: Exceptional skill or ability in a particular activity or field. Repartee: Conversation or speech characterized by quick, witty comments or replies. Savant: A learned person or distinguished scholar. Shrewd: Having or showing sharp powers of judgment; astute. Tactical: Showing adroit planning or maneuvering, especially in military operations. Trenchant: Vigorous or incisive in expression or style; sharp and perceptive. Adept: Very skilled or proficient at something. Agility: Ability to move quickly and easily or think rapidly. Dauntless: Showing fearlessness and determination. Devious: Showing a skillful use of underhanded tactics to achieve goals. Eloquence: Fluent or persuasive speaking or writing. Exploit: To make full use of a resource, or a bold daring feat. Grasp: To seize and hold firmly, or to comprehend fully. Ingenious: Clever, original, highly inventive, and resourceful. Leverage: Power, influence, or mechanical advantage used to achieve an outcome. Sly: Having or showing a cunning, deceitful, or secretive nature."
6,"Awkward, Clumsy, or Lacking Social Grace","Gauche: Lacking social grace, awkward, or tactless. Flounder: To struggle or stagger clumsily in water or mud; to struggle mentally. Inept: Having or showing no skill; clumsy. Obtuse: Slow to understand, insensitive, or dull-witted. Pedantic: Excessively concerned with minor details, rules, or display of academic learning. Philistine: A person who is hostile or indifferent to culture and the arts. Ponderous: Slow and clumsy because of great weight; dull or laborious. boor: An unrefined, ill-mannered, rough, or insensitive person. botch: To carry out a task badly, carelessly, or clumsily. brusque: Abrupt, blunt, or offhand in speech or manner. buffoon: A ridiculous but amusing person, fool, or clown. crass: Lacking sensitivity, refinement, or intelligence. Dolt: A stupid or foolish person. Flippant: Not showing a serious or respectful attitude. Gaffe: An unintentional act or remark causing embarrassment; blunder. Lout: An uncouth, aggressive, or clumsy man or boy. Malapropism: The mistaken use of a word in place of a similar-sounding one. Clunky: Awkwardly solid, heavy, or clumsy. Fumble: To handle clumsily or awkwardly, or to make a mistake in handling something. Goof: A foolish or careless mistake, or to make a silly blunder. Stumble: To trip or momentarily lose balance while walking."
7,"Friendly, Pleasant, Social, and Easygoing","Affable: Friendly, good-natured, and easy to talk to. Amiable: Friendly, pleasant, and easy to like. Amicable: Peaceable, characterized by goodwill, and free from disagreement. Congenial: Pleasant, agreeable, and suited to one's taste or character. Convivial: Friendly, lively, festive, and enjoyable in social gatherings. Civil: Polite, courteous, or relating to ordinary citizens and government. Charisma: Compelling charm or personal magnetism that inspires devotion. Extrovert: An outgoing, socially confident person. Fraternal: Relating to or like a brother or brothers; friendly and supportive. Gregarious: Fond of company; sociable and outgoing. banter: Playful, lighthearted, and good-humored teasing or conversation. bliss: Perfect happiness, supreme delight, or spiritual joy. bon vivant: A person who enjoys a luxurious, sociable, and refined lifestyle. cordial: Warm, friendly, hearty, and affectionate. Endear: To cause to be liked or loved. Engaging: Charming, attractive, and interesting. Palatable: Pleasant or acceptable to the taste or mind. Platonic: Intimate and affectionate but not romantic or sexual. Serene: Calm, peaceful, and untroubled. Vivacious: Attractively lively and animated. Elate: To make someone ecstatically happy or proud. Gleeful: Exuberantly or triumphantly joyful and delighted. Jovial: Cheerful, friendly, merry, and full of high spirits. Mirth: Amusement, laughter, or lighthearted joy and cheer. Placid: Calm, peaceful, and not easily excited."
8,"Hostile, Bitter, Aggressive, or Inclined to Fight","Acerbic: Sharp, harsh, or biting in tone, taste, or temper. Acrid: Unpleasantly sharp, bitter, or pungent in taste or smell. Acrimonious: Bitter, angry, and full of resentment in language or tone. Animosity: Strong hostility, ill will, or active hatred. Antipathy: A deep-seated, intense feeling of dislike or aversion. Belligerent: Hostile, aggressive, and eager to fight or argue. Contentious: Causing or likely to cause argument, disagreement, or controversy. Caustic: Sarcastic, biting, or capable of burning or corroding. Abhor: To hate, detest, or regard with extreme loathing. Rancor: Bitterness or resentful hatred, especially long-standing. Reprisal: An act of retaliation or revenge against an enemy or opponent. Sanguinary: Involving or causing much bloodshed; bloodthirsty. Strife: Angry or bitter disagreement over fundamental issues; conflict. vindictive: Having or showing a strong or unreasoning desire for revenge. virulent: Extremely severe, harmful, or poisonous; bitterly hostile. vitriolic: Filled with bitter malice, harshness, or caustic criticism. altercation: A noisy, heated argument or confrontation in public. assail: To make a concerted or violent attack on someone or something. astringent: Harsh, severe, biting, or causing contraction of skin tissues. bilious: Spiteful, bad-tempered, irritable, or associated with liver bile. bristle: To react angrily or defensively, or stand erect like short stiff hairs. callous: Showing or having an insensitive and cruel disregard for others. corrosive: Tending to cause corrosion, eat away, or be destructive. curmudgeon: A bad-tempered, difficult, or surly person. Diatribe: A bitter, abusive verbal attack or criticism. Enmity: A state or feeling of active opposition or hostility. Fulminate: To express vehement protest or explode violently. Incendiary: Designed to cause fires, or tending to stir up conflict. Incense: To make extremely angry or cause enraged feelings. Inflammatory: Arousing or intended to arouse violent, angry, or hostile feelings. Inimical: Tending to obstruct or harm; hostile or unfriendly. Invidious: Likely to arouse resentment, envy, or anger in others. Jingoism: Extreme, chauvinistic patriotism, often favoring aggressive foreign policy. Livid: Furious, angry, dark bluish-grey in color, or bruised. Melee: A confused fight, skirmish, or scuffle. Nemesis: An inescapable downfall, or a long-standing, inescapable rival. Provocation: Action or speech that makes someone annoyed or angry. Pummel: To strike repeatedly with the fists. Refractory: Stubbornly disobedient or resistant to control. Reprisal: An act of retaliation against an enemy or opponent. Wrath: Extreme anger or furious indignation. Agitate: To make someone troubled or nervous, or stir up violently. Antagonism: Active hostility or opposition between people or forces. Despise: To feel contempt or deep repugnance for. Enrage: To make someone extremely angry. Foe: An enemy or opponent. Fury: Wild, violent anger, extreme rage, or fierce intensity. Resentment: Bitter indignation at having been treated unfairly. Retaliation: The action of returning a military attack or responding in kind to an injury."
9,"Boldness, Arrogance, or Overstepping Boundaries","Audacity: Boldness, daring, or rude, arrogant behavior. Condescend: To show feelings of superiority; to patronize or stoop lower. Encroach: To intrude gradually or stealthily on a person's territory, rights, or time. Flaunt: To display something ostentatiously, especially in order to provoke envy or admiration. Grandiloquent: Pompous or extravagant in language, style, or manner. Grandiose: Impressive or magnificent in appearance or style, especially pretentiously so. Imperious: Assuming power or authority without justification; arrogant and domineering. Insolent: Showing a rude and arrogant lack of respect. Narcissism: Excessive interest in or admiration of oneself and one's appearance. Officious: Assertive of authority in an annoyingly domineering or meddlesome way. Ostentatious: Characterized by vulgar or pretentious display to impress others. Patronize: To treat condescendingly, or to frequent as a customer. Peremptory: Insisting on immediate attention or obedience in a domineering manner. Portentous: Done in a pompously solemn manner, or ominous of evil. Insubordinate: Defiant of authority; disobedient. Supercilious: Behaving or looking as though one thinks one is superior to others. Temerity: Excessive confidence or boldness; audacity. Intrepid: Fearless; adventurous and bold. Unconscionable: Not right or reasonable; unreasonably excessive or unscrupulous. bluster: To talk or act in a loud, aggressive, or threatening way with little effect. bombast: High-sounding language with little meaning, used to impress people. brandish: To wave or flourish something, especially a weapon, as a threat or show. bravado: A bold manner or show of bravery intended to impress or intimidate. brazen: Bold, shameless, audacious, and insolent. cavalier: Showing a lack of proper concern, dismissive, or offhand. contumely: Insolent, insulting, or contemptuous language or treatment. deign: To do something that one considers beneath one's dignity; condescend. Hubris: Excessive pride, self-confidence, or arrogance. Pontificate: To express one's opinions in an pompous or dogmatic way. Bombastic: High-sounding but with little meaning; inflated or pompous. Brag: To talk with excessive pride and self-satisfaction. Conceit: Excessive pride in oneself or a fanciful expression. Dauntless: Showing fearlessness and determination. Flamboyant: Tending to attract attention because of exuberance or confidence. Gloat: To dwell on one's own success or another's misfortune with smug pleasure. Impertinent: Not showing proper respect; rude or intrusively bold. Presumptuous: Failing to observe the limits of what is permitted or appropriate."
10,"Abundance of Wealth, Resources, or Quantity","Affluent: Having an abundance of wealth, property, or material goods. Copious: Abundant in supply, plentiful, or extensive. Fecund: Producing or capable of producing an abundance of offspring or new growth; fertile. Glut: An excessively abundant supply of something. Increment: An increase or addition, especially one of a series on a fixed scale. Inordinate: Unusually or disproportionately large; excessive. Inundate: To overwhelm someone with things or people; to flood. Largess: Generosity in bestowing money or gifts upon others. Munificent: Extremely generous, lavish, or bountiful in giving. Myriad: A vast, indefinitely large number or count. Opulent: Ostentatiously rich, luxurious, or lavish. Plethora: A large or excessive amount of something; abundance. Prodigious: Remarkably or impressively great in extent, size, or degree. Profuse: Exuberantly plentiful; abundant and lavish. Proliferate: To increase rapidly in numbers or multiply. Prolific: Producing much fruit or foliage or many works; highly productive. Quantitative: Relating to, measuring, or measured by the quantity of something. Redundant: Not or no longer needed or useful; superfluous. Replenish: To fill something up again or restore to a former level. Replete: Filled or well-supplied with something; full. Spawn: To produce, generate, or give rise to in large numbers. Superfluous: Unnecessary, especially through being more than enough. Surfeit: An excessive amount of something, especially food or drink. abound: To exist in large numbers, amounts, or great quantities. accrue: To accumulate or receive over time in regular or increasing amounts. aggrandize: To increase the power, status, wealth, or reputation of. amass: To gather, collect, or accumulate a large quantity of something. capacious: Having a lot of space inside; roomy and spacious. commodious: Roomy, comfortable, and spacious. copious: Abundant in supply or quantity; plentiful. crescendo: A gradual increase in loudness or intensity. Exorbitant: Unreasonably high, excessive, or extravagant in price. Fruitful: Producing good or abundant results, or fertile. Lavish: Sumptuously rich, elaborate, or luxurious; given in abundance. Predominant: Present as the strongest or main element. Pregnant: Carrying a developing fetus, or full of meaning and significance. Preponderance: The quality or fact of being greater in number, quantity, or importance. Rampant: Flourishing or spreading unchecked. Remuneration: Money paid for work or a service. Rife: Of common occurrence or widespread; full of. Self-Made: Having become successful or rich by one's own efforts. Spate: A large number of similar things or events appearing in quick succession. Stupendous: Extremely impressive or amazing. Sumptuous: Splendid and expensive-looking; luxurious. Teem: To be full of or swarming with something. Voluminous: Occupying or containing much space; large in volume or length. Array: An impressive display or range of a particular type of thing. Augmentation: The action or process of making or becoming greater in size or amount. Endowment: A grant, gift, or natural quality or talent. Extravagant: Lacking restraint in spending money or using resources. Opulence: Great wealth, affluence, luxury, or lavish abundance. Pecuniary: Relating to or consisting of money. Prodigality: Wasteful or reckless extravagance in spending. Proliferation: Rapid increase in numbers or a large amount. Satiate: To satisfy a desire or appetite fully to the point of excess. Splurge: To spend money extravagantly or ostentatiously. Substantial: Of considerable size, importance, worth, or solidity."
